...1,BIB,Nombre,Tiempo Oficial,Tiempo Chip,Paso por Km,Velocidad Media,Split 5k,Split 10k,Split 15k,Split 20k
0,71,GABRIELA FLORES GARCIA,01:18:25,01:18:25,03:41 /km,16.14 km/h,00:18:02,00:36:32,00:55:47,01:14:33
1,63,BRENDA EUNICE FLORES MUÑOS,01:20:00,01:20:00,03:47 /km,15.82 km/h,00:18:31,00:38:13,00:57:46,01:16:08
2,56,ISABEL GUADALUPE OROPEZA VAZQUEZ,01:20:43,01:20:43,03:47 /km,15.68 km/h,00:18:09,00:37:46,00:57:39,01:16:29
3,67,SONIA HERNÁNDEZ HERNÁNDEZ,01:22:18,01:22:18,03:53 /km,15.38 km/h,00:19:24,00:39:38,00:59:37,01:18:18
4,58,MARIA JILOTE VELA,01:22:41,01:22:41,03:53 /km,15.31 km/h,00:19:09,00:39:29,00:59:45,01:18:39
5,20389,LARISSA TRASVINA OJEDA,01:28:59,01:23:21,03:56 /km,15.18 km/h,00:19:30,00:39:23,00:59:35,01:19:12
6,53,VERONICA JERONIMO ESTRADA,01:23:24,01:23:24,03:56 /km,15.18 km/h,00:19:36,00:39:25,00:59:37,01:19:13
7,27643,ANDREA HURTADO VON DER ROSEN,01:29:02,01:23:46,03:56 /km,15.11 km/h,00:19:53,00:40:15,01:00:32,01:19:48
8,59,MARLA ELENA VALTIERRA MEJIA,01:23:49,01:23:49,03:56 /km,15.10 km/h,00:19:14,00:39:36,01:00:01,01:19:36
9,54,SONIA LAGUNA LOPEZ,01:24:59,01:24:59,03:58 /km,14.89 km/h,00:18:14,00:37:58,00:59:03,01:20:36
10,5455,MARÍA JOSÉ AZCOITIA RAMOS,01:37:12,01:25:09,04:01 /km,14.86 km/h,00:20:40,00:41:18,01:01:44,01:21:04
11,24256,MARIA JUANA RAMIREZ HERNANDEZ,01:30:39,01:25:24,04:01 /km,14.82 km/h,00:20:12,00:40:40,01:01:24,01:21:09
12,5303,REYNA ISELA RIVERA CARRILLO,01:26:05,01:26:02,04:04 /km,14.71 km/h,00:19:45,00:40:27,01:01:36,01:21:45
13,100,TERESA ALANIS LOPEZ,01:26:33,01:26:33,04:04 /km,14.62 km/h,00:20:29,00:41:24,01:02:20,01:22:27
14,5594,MARIANA ALEXANDRA HERRERA GOMEZ,01:26:38,01:26:38,04:04 /km,14.61 km/h,00:20:09,00:41:14,01:02:25,01:22:28
15,72,IVETTE MEJIA ARENAS,01:26:39,01:26:39,04:04 /km,14.61 km/h,00:20:01,00:40:47,01:02:20,01:22:24
16,5884,MARGARITA QUINTERO PETRIS,01:26:56,01:26:54,04:04 /km,14.56 km/h,00:19:47,00:40:48,01:02:09,01:22:47
17,61,AZUCENA RODRIGUEZ OCHOA,01:26:54,01:26:55,04:04 /km,14.56 km/h,00:19:25,00:40:16,01:02:11,01:22:41
