...1,BIB,Nombre,Tiempo Oficial,Tiempo Chip,Paso por Km,Velocidad Media,Split 5k,Split 10k,Split 15k,Split 20k
0,4,JUAN JOEL PACHECO OROZCO,01:07:02,01:07:02,03:10 /km,18.88 km/h,00:15:34,00:31:49,00:48:08,01:03:45
1,1,JESUS NAVA AGUILA,01:07:13,01:07:13,03:10 /km,18.83 km/h,00:15:17,00:31:34,00:48:01,01:03:47
2,16342,GABRIEL ARROYO ONOFRE,01:07:27,01:07:27,03:10 /km,18.76 km/h,00:15:41,00:31:49,00:48:11,01:04:03
3,15,CARLOS ALBERTO ALVAREZ SALMERON,01:08:51,01:08:51,03:13 /km,18.38 km/h,00:15:41,00:31:56,00:48:55,01:05:26
4,48,RUBEN CHAVEZ HERNANDEZ,01:09:04,01:09:04,03:16 /km,18.33 km/h,00:15:55,00:32:42,00:49:42,01:05:38
5,24136,EVERARDO LEONARDO EUSEBIO,01:09:17,01:09:17,03:16 /km,18.27 km/h,00:16:39,00:33:16,00:50:04,01:05:56
6,12,ISRAEL OROPEZA VAZQUEZ,01:09:26,01:09:26,03:16 /km,18.23 km/h,00:15:37,00:32:37,00:49:35,01:05:52
7,22588,URIEL ARIZMENDI HERNÁNDEZ,01:09:27,01:09:27,03:16 /km,18.23 km/h,00:16:01,00:32:52,00:49:46,01:06:00
8,3,FRANCISCO JAVIER GONZALEZ LLAMAS,01:09:44,01:09:44,03:16 /km,18.15 km/h,00:15:56,00:32:43,00:49:47,01:06:13
9,39,MAURICIO MENDEZ CRUZ,01:10:22,01:10:22,03:19 /km,17.98 km/h,00:16:35,00:33:32,00:50:44,01:06:58
10,10,JULIO ALBERTO ORTIZ PONCE,01:11:00,01:11:00,03:19 /km,17.83 km/h,00:15:47,00:32:53,00:50:16,01:07:25
11,1323,JESUS FERNANDO BANALES TRUJILLO,01:11:57,01:11:55,03:21 /km,17.60 km/h,00:16:15,00:34:00,00:51:34,01:08:27
12,23379,CESAR HERNANDEZ ALVARADO,01:12:34,01:12:34,03:24 /km,17.44 km/h,00:16:49,00:34:34,00:52:11,01:09:01
13,5592,ALBERTO MARMOLEJO CRUZ,01:12:41,01:12:41,03:24 /km,17.41 km/h,00:16:57,00:34:44,00:52:26,01:09:12
14,46,EMMANUEL ANGEL REYES MONTES,01:12:54,01:12:54,03:24 /km,17.36 km/h,00:15:41,00:32:49,00:51:46,01:09:18
15,27753,OWEN TORRES GARCÍA,01:18:21,01:13:07,03:27 /km,17.31 km/h,00:17:14,00:34:49,00:52:28,01:09:27
16,28983,ANTONIO VARA ORTEGA,01:13:13,01:13:13,03:27 /km,17.29 km/h,00:15:52,00:34:17,00:52:55,01:09:39
17,2413,URIEL IMANOL FRÍAS DE LA CRUZ,01:19:48,01:13:24,03:27 /km,17.24 km/h,00:18:17,00:36:04,00:53:23,01:10:05
18,24009,ARMANDO RAMIREZ CANO,01:13:25,01:13:25,03:27 /km,17.24 km/h,00:16:35,00:34:43,00:52:55,01:09:54
19,9067,ANDRÉS RUBÉN CASAS TORRES,01:13:33,01:13:32,03:27 /km,17.21 km/h,00:16:50,00:34:41,00:52:49,01:09:54
20,24293,JOSÉ LUIS MONTERO JIMÉNEZ,01:13:36,01:13:36,03:27 /km,17.20 km/h,00:17:13,00:35:04,00:53:08,01:10:01
21,21547,ALBERTO UGARTE ORTEGA,01:18:58,01:13:42,03:27 /km,17.17 km/h,00:17:12,00:35:10,00:53:08,01:10:11
22,16,EMMANUEL NAVA AGUILA,01:13:43,01:13:43,03:27 /km,17.17 km/h,00:15:58,00:33:57,00:52:22,01:10:06
23,3451,ULISES RIOS JIMÉNEZ,01:13:48,01:13:47,03:27 /km,17.15 km/h,00:17:10,00:35:10,00:53:04,01:10:05
24,8589,GERARDO ARRIAGA GARCIA,01:19:58,01:14:43,03:30 /km,16.94 km/h,00:17:35,00:35:48,00:53:57,01:11:13
25,5018,OSCAR JAIR ORTIZ PEREZ,01:20:00,01:14:47,03:30 /km,16.93 km/h,00:17:38,00:35:44,00:53:47,01:11:22
26,24371,ARMANDO CABRERA AGUILAR,01:20:01,01:14:47,03:30 /km,16.92 km/h,00:17:26,00:35:50,00:54:04,01:11:23
27,19754,ADALBERTO OMAR AGUILLON RAMÍREZ,01:27:34,01:15:30,03:33 /km,16.76 km/h,00:19:21,00:37:13,00:55:02,01:11:57
28,42,GUILLERMO BACA UGALDE,01:15:41,01:15:41,03:33 /km,16.72 km/h,00:16:23,00:34:53,00:53:30,01:12:00
29,19970,NICOLAS CASTRO MIRANDA,01:21:35,01:15:48,03:33 /km,16.70 km/h,00:17:28,00:35:18,00:54:12,01:12:01
30,27228,EDUARDO REYES LOPEZ,01:15:52,01:15:51,03:33 /km,16.69 km/h,00:17:41,00:35:54,00:54:42,01:12:19
31,1980,RAMSES CAMBRAY RODRIGUEZ,01:21:44,01:15:53,03:33 /km,16.68 km/h,00:17:24,00:35:44,00:54:12,01:12:11
32,24317,GUSTAVO GUTIÉRREZ RANGEL,01:16:00,01:16:00,03:36 /km,16.65 km/h,00:17:43,00:35:53,00:54:36,01:12:17
33,7198,JESUS EDUARDO GARCÍA URIBE,01:27:33,01:16:07,03:36 /km,16.63 km/h,00:18:21,00:36:46,00:55:10,01:12:33
34,2770,LUCAS VICTOR BALDIN,01:16:26,01:16:26,03:36 /km,16.56 km/h,00:17:38,00:36:12,00:54:59,01:12:44
35,26992,JORGE PUENTE ORTIZ,01:21:44,01:16:26,03:36 /km,16.56 km/h,00:17:53,00:36:20,00:54:43,01:12:31
36,9614,LUIS ANGEL GARCIA SANCHEZ,01:22:14,01:16:28,03:36 /km,16.55 km/h,00:17:59,00:36:49,00:55:18,01:12:47
37,27590,JORGE ELÍ MEJÍA GARCÍA,01:16:29,01:16:28,03:36 /km,16.55 km/h,00:16:50,00:34:51,00:53:41,01:12:39
38,9330,JOSE LUIS MAGALLON RODRIGUEZ,01:16:42,01:16:40,03:36 /km,16.51 km/h,00:17:41,00:36:29,00:55:12,01:12:57
39,23269,CHRISTIAN ARMANDO LEDEZMA CISNEROS,01:16:40,01:16:41,03:36 /km,16.51 km/h,00:18:00,00:36:40,00:55:29,01:13:11
40,24346,ELFEGO MANUEL ARZATE,01:16:52,01:16:51,03:36 /km,16.47 km/h,00:17:41,00:36:18,00:54:58,01:13:05
41,21305,CARLOS FLORES ARROYO,01:22:32,01:16:58,03:36 /km,16.44 km/h,00:18:28,00:36:58,00:55:30,01:13:19
42,12807,ALBERTO NUNEZ MEDINA,01:17:00,01:17:00,03:36 /km,16.44 km/h,00:17:43,00:36:27,00:55:29,01:13:15
43,5678,FERNANDO JESUS RAMIREZ MENDOZA,01:22:21,01:17:04,03:38 /km,16.42 km/h,00:17:27,00:36:18,00:55:12,01:13:19
44,13,ELOY SANCHEZ VIDAL,01:17:46,01:17:46,03:38 /km,16.28 km/h,00:16:45,00:35:50,00:54:42,01:13:43
45,11246,JESÚS ALCANTAR MARTÍNEZ,01:24:11,01:17:47,03:38 /km,16.27 km/h,00:19:27,00:38:17,00:57:01,01:14:23
46,28428,UZZIEL VALDERRABANO CHAVEZ,01:17:52,01:17:50,03:38 /km,16.26 km/h,00:16:51,00:35:39,00:55:13,01:13:54
47,7978,ADOLFO LORENZO SÁNCHEZ,01:18:01,01:17:59,03:38 /km,16.23 km/h,00:18:49,00:37:30,00:56:21,01:14:14
48,9956,RUBEN MENDOZA CAMPOS,01:18:00,01:18:00,03:38 /km,16.23 km/h,00:17:45,00:36:49,00:56:06,01:14:13
49,24326,PAVEL IVÁN JIMÉNEZ SÁNCHEZ,01:18:10,01:18:09,03:41 /km,16.20 km/h,00:18:01,00:36:58,00:56:23,01:14:25
50,20665,MIGUEL VEGA VEGA,01:19:55,01:18:28,03:41 /km,16.13 km/h,00:18:32,00:37:27,00:56:33,01:14:41
51,13234,SEBASTIÁN DE JESÚS ALONSO DELGADO,01:24:06,01:18:49,03:41 /km,16.06 km/h,00:17:54,00:37:28,00:56:29,01:14:55
52,21606,ALDO BALDERAS ESPINOZA,01:30:39,01:18:59,03:41 /km,16.02 km/h,00:17:59,00:37:20,00:56:34,01:15:02
53,9346,KIM GONZALEZ LOPEZ,01:25:42,01:19:15,03:44 /km,15.97 km/h,00:18:24,00:37:20,00:56:35,01:15:08
54,5328,JORGE ARMANDO TELLEZ GARCIA,01:24:38,01:19:16,03:44 /km,15.96 km/h,00:18:28,00:37:36,00:56:50,01:15:21
55,29474,KEVIN JESUAR RAMIREZ SANTIAGO,01:30:52,01:19:26,03:44 /km,15.93 km/h,00:18:22,00:37:09,00:56:20,01:15:27
56,29092,ERIK MIRELES GONZÁLEZ,01:30:59,01:19:29,03:44 /km,15.92 km/h,00:18:44,00:37:40,00:57:04,01:15:43
57,24329,ARCADIO SANTIAGO MARTINEZ,01:19:31,01:19:31,03:44 /km,15.91 km/h,00:17:59,00:37:13,00:56:48,01:15:32
58,25431,RODOLFO PÉREZ MÉNDEZ,01:19:33,01:19:32,03:44 /km,15.91 km/h,00:18:54,00:37:58,00:57:16,01:15:38
59,16689,ALFREDO ESCARCEGA GUTIERREZ,01:24:54,01:19:34,03:44 /km,15.90 km/h,00:17:52,00:37:50,00:57:04,01:15:37
60,12086,BRAYAN OSVALDO GODINEZ PALACIOS,01:25:40,01:20:17,03:47 /km,15.77 km/h,00:19:18,00:38:37,00:57:38,01:16:32
61,35,PEDRO ISAAC RAZO RESENDIZ,01:20:29,01:20:29,03:47 /km,15.73 km/h,00:18:17,00:37:57,00:57:37,01:16:41
62,16137,DANIEL CERVANTES GOMEZ,01:26:37,01:20:29,03:47 /km,15.72 km/h,00:18:56,00:38:13,00:57:53,01:16:29
63,5025,MAURICIO VAZQUEZ RADOSZYCKI,01:25:54,01:20:40,03:47 /km,15.69 km/h,00:18:43,00:38:04,00:57:45,01:16:41
64,25667,ALFONSO HELFON SACAL,01:32:59,01:20:51,03:47 /km,15.65 km/h,00:19:15,00:38:31,00:58:09,01:16:53
65,5301,RICARDO GABRIEL VAZQUEZ ONTIVEROS,01:26:10,01:20:55,03:47 /km,15.64 km/h,00:19:27,00:39:18,00:58:53,01:17:10
66,14060,LUIS CONCEPCION LOPEZ,01:27:19,01:21:02,03:50 /km,15.62 km/h,00:18:44,00:38:42,00:58:19,01:17:12
67,16693,FERNANDO SAAVEDRA DE LEON,01:26:34,01:21:07,03:50 /km,15.60 km/h,00:19:01,00:38:57,00:58:40,01:17:12
68,8062,SERGIO DANIEL ROJAS VAZQUEZ,01:27:03,01:21:13,03:50 /km,15.58 km/h,00:19:15,00:38:45,00:58:22,01:17:22
69,5676,DIEGO MURILLO CASTELLANOS,01:27:04,01:21:22,03:50 /km,15.56 km/h,00:18:47,00:38:46,00:58:37,01:17:27
70,105,VLADISLAV MERIIN MERIIN,01:26:42,01:21:22,03:50 /km,15.55 km/h,00:18:56,00:38:42,00:59:00,01:17:32
71,29104,ALEJANDRO BARTNING GONZÁLEZ,01:33:00,01:21:30,03:50 /km,15.53 km/h,00:18:43,00:38:30,00:58:30,01:17:30
72,21778,IVÁN DÍAZ CRUZ,01:27:26,01:21:31,03:50 /km,15.53 km/h,00:18:14,00:37:45,00:58:16,01:17:31
73,24032,ALEJANDRO ALEJANDRE SANCHEZ,01:21:34,01:21:33,03:50 /km,15.52 km/h,00:17:26,00:36:29,01:01:10,01:18:01
74,17583,DANIEL CRUZ GUZMAN,01:26:53,01:21:35,03:50 /km,15.51 km/h,00:19:01,00:38:50,00:58:35,01:17:39
75,24840,EMILIO BETETA PALAZUELOS,01:27:02,01:21:36,03:50 /km,15.51 km/h,00:19:29,00:39:20,00:59:00,01:17:42
76,6487,FRANCISCO DAMIÁN HERNÁNDEZ DOMÍNGUEZ,01:35:11,01:21:37,03:50 /km,15.51 km/h,00:19:32,00:38:56,00:58:55,01:17:41
77,868,JOSE IGNACIO ARELLANO BARBA,01:27:02,01:21:39,03:50 /km,15.50 km/h,00:19:29,00:39:23,00:59:03,01:17:45
78,15828,FRANCISCO MORENO MOCTEZUMA,01:27:01,01:21:43,03:50 /km,15.49 km/h,00:18:46,00:39:13,00:59:03,01:17:53
79,9029,EDWIN RAUL PEREA PEREA,01:27:43,01:22:04,03:53 /km,15.42 km/h,00:19:03,00:39:09,00:59:05,01:18:08
80,1479,JOSE ANTONIO LAWTER JUAREZ,01:22:08,01:22:05,03:53 /km,15.42 km/h,00:19:14,00:39:16,00:59:09,01:18:03
81,24606,ALBERTO REYES GUERRERO,01:28:19,01:22:05,03:53 /km,15.42 km/h,00:19:12,00:39:16,00:59:16,01:18:06
82,13279,EMMANUEL JIMÉNEZ BENÍTEZ,01:33:57,01:22:06,03:53 /km,15.42 km/h,00:20:05,00:40:19,00:59:33,01:18:12
83,29838,ISRAEL ESCOBAR PARTIDA,01:28:01,01:22:11,03:53 /km,15.40 km/h,00:19:44,00:39:44,00:59:24,01:18:12
84,28,RUBEN FLORES MEDINA,01:22:13,01:22:12,03:53 /km,15.40 km/h,00:18:33,00:38:45,00:59:05,01:18:08
85,24841,RICARDO VIDALES ZAVALA,01:27:46,01:22:13,03:53 /km,15.39 km/h,00:19:19,00:39:14,00:59:04,01:18:22
86,19061,HECTOR MIGUEL MENDEZ GUZMAN,01:28:52,01:22:18,03:53 /km,15.38 km/h,00:20:06,00:39:53,00:59:29,01:18:27
87,7328,SANTIAGO DURÁN MARTÍNEZ DE CASTRO,01:27:45,01:22:25,03:53 /km,15.35 km/h,00:18:59,00:39:07,00:59:24,01:18:28
88,6296,JAVIER MIRANDA ARGÜELLES,01:27:53,01:22:31,03:53 /km,15.34 km/h,00:19:23,00:39:36,00:59:52,01:18:38
89,6480,ERICK DANIEL RODRÍGUEZ LICEAGA,01:28:56,01:22:33,03:53 /km,15.33 km/h,00:18:53,00:39:23,00:59:07,01:18:19
90,9589,DANIEL BUSTAMANTE TERÁN,01:28:03,01:22:47,03:53 /km,15.29 km/h,00:19:29,00:39:42,00:59:48,01:18:47
91,14646,RAUL REYES MENDEZ,01:28:22,01:22:48,03:53 /km,15.28 km/h,00:19:52,00:39:55,01:00:02,01:18:55
92,11912,DIEGO VELASCO VELÁZQUEZ,01:34:17,01:22:53,03:53 /km,15.27 km/h,00:19:51,00:39:52,00:59:55,01:18:57
93,6308,ROBERTO DIAZ TÉLLEZ,01:28:38,01:22:57,03:53 /km,15.26 km/h,00:20:07,00:40:20,01:00:22,01:19:01
94,5323,GUILLERMO COVARRUBIAS VELAZQUEZ,01:28:15,01:23:00,03:56 /km,15.25 km/h,00:19:27,00:39:26,00:59:30,01:18:58
95,16616,ANTONIO CASTANEDA PASTRANA,01:29:19,01:23:01,03:56 /km,15.24 km/h,00:19:54,00:39:44,00:59:50,01:18:56
96,8869,CARLOS ALBERTO MENESES IBARRA,01:28:38,01:23:02,03:56 /km,15.24 km/h,00:18:58,00:38:34,00:58:51,01:18:43
97,21610,RAYMOND GARCIA HERNANDEZ,01:28:15,01:23:03,03:56 /km,15.24 km/h,01:17:39,NA,NA,NA
98,6297,JESUS ARMANDO CORTINAS VIDAL,01:28:24,01:23:08,03:56 /km,15.22 km/h,00:19:36,00:39:51,00:59:57,01:19:13
99,21231,RODRIGO BANDA MUNOZCANO,01:28:32,01:23:09,03:56 /km,15.22 km/h,00:19:28,00:39:19,00:59:35,01:19:01
100,11686,ALDO JUAREZ ACEVEDO,01:28:29,01:23:09,03:56 /km,15.22 km/h,00:19:33,00:39:34,00:59:40,01:19:07
101,14382,CARLOS JUAQUIN VERA ZENONA,01:29:04,01:23:10,03:56 /km,15.22 km/h,00:19:24,00:38:40,00:58:45,01:19:10
102,601,ALEJANDRO PINZON ESPARZA,01:23:12,01:23:10,03:56 /km,15.22 km/h,00:19:07,00:39:41,00:59:58,01:19:18
103,1454,ALBERTO ALEJANDRO ALVAREZ VIRREY,01:28:56,01:23:12,03:56 /km,15.21 km/h,00:20:07,00:40:07,00:59:58,01:19:12
104,16721,DANIEL NAJERA FLORES,01:28:44,01:23:13,03:56 /km,15.21 km/h,00:19:20,00:39:35,00:59:40,01:19:06
105,25735,RICARDO REYES RETANA TORRE,01:28:48,01:23:14,03:56 /km,15.20 km/h,00:19:44,00:39:40,00:59:41,01:19:00
106,15604,ERICK ALEJANDRO HERRERA DELGADO,01:23:18,01:23:15,03:56 /km,15.20 km/h,00:19:22,00:39:48,01:00:03,01:19:22
107,7647,DIEGO BARAONA CALVO,01:34:40,01:23:15,03:56 /km,15.20 km/h,00:19:25,00:39:12,00:58:56,01:18:56
108,17564,RODRIGO CUSTODIO OCHOA,01:34:42,01:23:15,03:56 /km,15.20 km/h,00:19:31,00:39:43,01:00:05,01:19:14
109,28779,EDUARDO ALVARADO ESCOBEDO,01:29:27,01:23:16,03:56 /km,15.20 km/h,00:19:28,00:39:26,00:59:38,01:19:06
110,15095,DIEGO ROMERO ORTIZ,01:23:27,01:23:22,03:56 /km,15.18 km/h,00:20:18,00:40:31,01:00:35,01:19:34
111,19110,OSCAR CALTENCO ABRIZ,01:23:22,01:23:22,03:56 /km,15.18 km/h,00:19:14,00:39:25,00:59:50,01:19:19
112,109,ALDO CHAVEZ GALLARDO,01:29:38,01:23:23,03:56 /km,15.18 km/h,00:19:49,00:40:05,01:00:23,01:19:24
113,5454,JULIAN ERNESTO VAZQUEZ OLIVARES,01:23:32,01:23:27,03:56 /km,15.16 km/h,00:19:18,00:39:22,00:59:40,01:19:18
114,28872,PATRICIO UGARTE RODRÍGUEZ,01:28:50,01:23:29,03:56 /km,15.16 km/h,00:19:23,00:39:36,00:59:52,01:19:19
115,14373,JOSE ALDO PAEZ SILES,01:29:26,01:23:30,03:56 /km,15.16 km/h,00:19:42,00:39:31,01:00:17,01:19:20
116,1340,ADRIÁN RESÉNDIZ CRUZ,01:29:23,01:23:32,03:56 /km,15.15 km/h,00:20:22,00:40:38,01:00:39,01:19:38
117,14115,HASSAN VILLEGAS QUINTERO,01:29:12,01:23:41,03:56 /km,15.12 km/h,00:18:53,00:39:12,00:59:44,01:19:31
118,27302,EDUARDO GIOVANNI DE LA TORRE VILCHIS,01:29:26,01:23:44,03:56 /km,15.11 km/h,00:19:34,00:39:29,00:59:35,01:19:33
119,27755,MARIANO RUIZ DURAN,01:29:01,01:23:45,03:56 /km,15.11 km/h,00:19:52,00:40:15,01:00:33,01:19:48
120,19086,LUIS ENRIQUE CORTES LUGO,01:29:23,01:23:54,03:56 /km,15.09 km/h,00:20:21,00:40:30,01:00:41,01:20:04
121,5920,JORGE ANDRÉS SANTOS GORDON,01:35:17,01:23:55,03:56 /km,15.08 km/h,00:20:21,00:40:42,01:00:30,01:19:42
122,3009,LUIS FERNANDO HERNANDEZ OBREGON,01:29:26,01:23:59,03:56 /km,15.07 km/h,00:19:29,00:39:46,01:00:18,01:19:50
123,18053,JOSE MARIA MONTIAGA BARCON,01:29:25,01:24:01,03:58 /km,15.06 km/h,00:20:24,00:40:50,01:00:48,01:20:00
124,6231,OMAR GUZMAN GONZALEZ,01:29:46,01:24:04,03:58 /km,15.05 km/h,00:19:19,00:38:52,00:59:28,01:19:43
125,13758,SANTIAGO BOLIO KRAUSE,01:29:34,01:24:05,03:58 /km,15.05 km/h,00:20:33,00:41:04,01:01:14,01:20:21
126,15182,ROGER ARTURO SOLANO SOLIS,01:29:44,01:24:06,03:58 /km,15.05 km/h,00:19:16,00:39:35,00:59:57,01:19:44
127,5326,JORDI ARRIETA ESPINOSA,01:29:34,01:24:06,03:58 /km,15.05 km/h,00:20:33,00:41:05,01:01:14,01:20:21
128,107,ALEXANDRO MALO REYNOSO,01:29:36,01:24:07,03:58 /km,15.04 km/h,00:19:58,00:39:53,01:00:10,01:19:54
